,Packet_payload,TTP
20,53 54 4f 52 20 2f 41 56 2e 73 63 72 0d 0a,TA0011 T1071 T1071.002
21,53 54 4f 52 20 2f 2f 56 69 64 65 6f 2e 73 63 72 0d 0a,TA0011 T1071 T1071.002
22,53 54 4f 52 20 2f 2f 50 68 6f 74 6f 2e 73 63 72 0d 0a,TA0011 T1071 T1071.002
23,53 54 4f 52 20 69 6e 66 6f 2e 7a 69 70 0d 0a,TA0011 T1071 T1071.002
24,53 54 4f 52 20 2f 2f 41 56 2e 73 63 72 0d 0a,TA0011 T1071 T1071.002
25,53 54 4f 52 20 2f 50 68 6f 74 6f 2e 6c 6e 6b 0d 0a,TA0011 T1071 T1071.002
26,53 54 4f 52 20 2f 50 68 6f 74 6f 2e 73 63 72 0d 0a,TA0011 T1071 T1071.002
27,53 54 4f 52 20 2e 68 74 61 63 63 65 73 73 0d 0a,TA0011 T1071 T1071.002
28,53 54 4f 52 20 2f 50 68 6f 74 6f 2e 73 63 72 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a,TA0011 T1071 T1071.002
29,53 54 4f 52 20 2f 50 68 6f 74 6f 2e 73 63 72 0d 0a 54 59 50 45 20 49 0d 0a,TA0011 T1071 T1071.002
30,50 41 53 56 0d 0a,TA0011 T1071 T1071.002
31,45 50 53 56 0d 0a,TA0011 T1071 T1071.002
32,54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
33,54 59 50 45 20 49 0d 0a,TA0011 T1071 T1071.002
34,54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
35,54 59 50 45 20 49 0d 0a 50 41 53 56 0d 0a,TA0011 T1071 T1071.002
36,54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a,TA0011 T1071 T1071.002
37,54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
38,54 59 50 45 20 49 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
39,54 59 50 45 20 49 0d 0a 50 41 53 56 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
40,54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
41,54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a,TA0011 T1071 T1071.002
42,54 59 50 45 20 49 0d 0a 50 41 53 56 0d 0a 54 59 50 45 20 49 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
43,54 59 50 45 20 49 0d 0a 54 59 50 45 20 49 0d 0a 50 41 53 56 0d 0a,TA0011 T1071 T1071.002
44,50 41 53 56 0d 0a 50 41 53 56 0d 0a,TA0011 T1071 T1071.002
45,50 41 53 56 0d 0a 4c 49 53 54 0d 0a,TA0011 T1071 T1071.002
46,50 41 53 56 0d 0a 50 41 53 56 0d 0a 50 41 53 56 0d 0a,TA0011 T1071 T1071.002
47,50 41 53 56 0d 0a 4e 4c 53 54 0d 0a,TA0011 T1071 T1071.002
48,50 41 53 56 0d 0a 50 41 53 56 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
49,50 41 53 56 0d 0a 50 41 53 56 0d 0a 50 41 53 56 0d 0a 50 41 53 56 0d 0a,TA0011 T1071 T1071.002
50,50 41 53 56 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
51,54 59 50 45 20 41 0d 0a 50 41 53 56 0d 0a 4c 49 53 54 0d 0a,TA0011 T1071 T1071.002
52,4f 50 54 53 20 55 54 46 38 20 4f 4e 0d 0a,TA0011 T1071 T1071.002
53,54 59 50 45 20 41 0d 0a 50 41 53 56 0d 0a,TA0011 T1071 T1071.002
54,54 59 50 45 20 41 0d 0a 50 41 53 56 0d 0a 4e 4c 53 54 0d 0a,TA0011 T1071 T1071.002
55,50 41 53 56 0d 0a 54 59 50 45 20 49 0d 0a,TA0011 T1071 T1071.002
56,50 41 53 56 0d 0a 50 41 53 56 0d 0a 50 41 53 56 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
57,50 41 53 56 0d 0a 50 41 53 56 0d 0a 50 41 53 56 0d 0a 50 41 53 56 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
58,50 41 53 56 0d 0a 50 41 53 56 0d 0a 50 41 53 56 0d 0a 50 41 53 56 0d 0a 50 41 53 56 0d 0a 54 59 50 45 20 41 0d 0a,TA0011 T1071 T1071.002
59,50 41 53 56 0d 0a 54 59 50 45 20 41 0d 0a 50 41 53 56 0d 0a,TA0011 T1071 T1071.002
60,50 41 53 56 0d 0a 54 59 50 45 20 49 0d 0a 50 41 53 56 0d 0a,TA0011 T1071 T1071.002
61,2a 31 0d 0a 24 34 0d 0a 49 4e 46 4f 0d 0a,TA0001 T1018 T1018.000
